ClassID,ClassDescription,SFSplitRes,SFSplitCom,CapacityRes_DUA,CapacityCom_FAR,SFperHH,SFperEmp,PercentOpenSpace,RedevValuePerAcreRes,RedevValuePerAcreCom,RedevAndOr,RedevBldgAgeRes_Low,RedevBldgAgeRes_High,RedevBldgAgeCom_Low,RedevBldgAgeCom_High,RedevProb,SFRedevFullAdd,ClassOrder
f4,Multifamily Metro,0.4,0.6,120,15,1500,225,0.1,3500000,2800000,AND,60,120,20,120,1,No,29
f3,Multifamily City/TOD,0.5,0.5,60,4,1500,250,0.1,2100000,1680000,AND,60,120,20,120,1,No,28
f2,Multifamily Suburban,0.7,0.3,30,1,1500,300,0.1,1050000,840000,AND,60,120,20,120,1,No,27
f1,Multifamily Single Story,0.85,0.15,10,0.5,2000,300,0.1,700000,560000,AND,60,300,20,300,1,No,26
g4,Mixed-Use Metro,0.4,0.6,120,15,1500,225,0.1,3500000,2800000,AND,60,120,20,120,1,No,33
g3,Mixed-Use City/TOD,0.5,0.5,60,4,1500,250,0.1,2100000,1680000,AND,60,120,20,120,1,No,32
g2,Mixed-Use Suburban,0.7,0.3,30,1,1500,300,0.1,1050000,840000,AND,60,120,20,120,1,No,31
g1,Mixed-Use Single Story,0.85,0.15,10,0.5,2000,300,0.1,700000,560000,AND,60,300,20,300,1,No,30
h4,Mixed Residential Metro,0.4,0.6,120,15,1500,225,0.1,3500000,2800000,AND,60,120,20,120,1,No,37
h3,Mixed Residential City/TOD,0.5,0.5,60,4,1500,250,0.1,2100000,1680000,AND,60,120,20,120,1,No,36
h2,Mixed Residential Suburban,0.7,0.3,30,1,1500,300,0.1,1050000,840000,AND,60,120,20,120,1,No,35
h1,Mixed Residential Single Story,0.85,0.15,10,0.5,2000,300,0.1,700000,560000,AND,60,300,20,300,1,No,34
a5,Single Family A5,1,0,1.5,0.5,4000,350,0.15,210000,700000,AND,50,300,20,300,1,Yes,5
a4,Single Family A4,1,0,1.5,0.5,4000,350,0.15,140000,700000,AND,50,300,20,300,1,Yes,4
a3,Single Family A3,1,0,1.5,0.5,4000,350,0.15,70000,700000,AND,50,300,20,300,1,Yes,3
a2,Single Family A2,1,0,1.5,0.5,4000,350,0.15,56000,700000,AND,50,300,20,300,1,Yes,2
a1,Single Family A1,1,0,1.5,0.5,4000,350,0.15,28000,700000,AND,50,300,20,300,1,Yes,1
b5,Single Family B5,1,0,2.5,0.5,3500,350,0.15,280000,700000,AND,50,300,20,300,1,Yes,10
b4,Single Family B4,1,0,2.5,0.5,3500,350,0.15,175000,700000,AND,50,300,20,300,1,Yes,9
b3,Single Family B3,1,0,2.5,0.5,3500,350,0.15,105000,700000,AND,50,300,20,300,1,Yes,8
b2,Single Family B2,1,0,2.5,0.5,3500,350,0.15,87500,700000,AND,50,300,20,300,1,Yes,7
b1,Single Family B1,1,0,2.5,0.5,3500,350,0.15,35000,700000,AND,50,300,20,300,1,Yes,6
c5,Single Family C5,1,0,4,0.5,3000,350,0.15,420000,700000,AND,50,300,20,300,1,Yes,15
c4,Single Family C4,1,0,4,0.5,3000,350,0.15,315000,700000,AND,50,300,20,300,1,Yes,14
c3,Single Family C3,1,0,4,0.5,3000,350,0.15,210000,700000,AND,50,300,20,300,1,Yes,13
c2,Single Family C2,1,0,4,0.5,3000,350,0.15,140000,700000,AND,50,300,20,300,1,Yes,12
c1,Single Family C1,1,0,4,0.5,3000,350,0.15,70000,700000,AND,50,300,20,300,1,Yes,11
d5,Single Family D5,1,0,7,0.5,3000,350,0.15,560000,700000,AND,50,300,20,300,1,Yes,20
d4,Single Family D4,1,0,7,0.5,3000,350,0.15,455000,700000,AND,50,300,20,300,1,Yes,19
d3,Single Family D3,1,0,7,0.5,3000,350,0.15,315000,700000,AND,50,300,20,300,1,Yes,18
d2,Single Family D2,1,0,7,0.5,3000,350,0.15,245000,700000,AND,50,300,20,300,1,Yes,17
d1,Single Family D1,1,0,7,0.5,3000,350,0.15,175000,700000,AND,50,300,20,300,1,Yes,16
e5,Single Family E5,1,0,10,0.5,3000,350,0.15,840000,700000,AND,50,300,20,300,1,Yes,25
e4,Single Family E4,1,0,10,0.5,3000,350,0.15,560000,700000,AND,50,300,20,300,1,Yes,24
e3,Single Family E3,1,0,10,0.5,3000,350,0.15,420000,700000,AND,50,300,20,300,1,Yes,23
e2,Single Family E2,1,0,10,0.5,3000,350,0.15,350000,700000,AND,50,300,20,300,1,Yes,22
e1,Single Family E1,1,0,10,0.5,3000,350,0.15,280000,700000,AND,50,300,20,300,1,Yes,21
CRT|Metropolitan Center,CRT|Metropolitan Center,0.4,0.6,350,8,1000,500,0.05,455000,280000,AND,60,120,30,120,1,Yes,38
LRT|Metropolitan Center,LRT|Metropolitan Center,0.4,0.6,350,8,1000,500,0.05,455000,280000,AND,60,120,30,120,2,Yes,39
NONTOD|Metropolitan Center,NONTOD|Metropolitan Center,0.45,0.55,170,4,1000,500,0.05,455000,280000,AND,60,120,30,120,3,Yes,40
CRT|Urban Center,CRT|Urban Center,0.5,0.5,130,3,1000,500,0.1,350000,210000,AND,70,300,30,300,4,Yes,41
LRT|Urban Center,LRT|Urban Center,0.5,0.5,130,3,1000,500,0.1,350000,210000,AND,70,300,30,300,5,Yes,42
NONTOD|Urban Center,NONTOD|Urban Center,0.55,0.45,70,2,1200,500,0.1,350000,210000,AND,70,300,30,300,6,Yes,43
CRT|City Center,CRT|City Center,0.6,0.4,70,2,1200,600,0.1,350000,210000,AND,70,300,30,300,7,Yes,44
LRT|City Center,LRT|City Center,0.6,0.4,70,2,1200,600,0.1,350000,210000,AND,70,300,30,300,8,Yes,45
NONTOD|City Center,NONTOD|City Center,0.65,0.35,35,1,1200,600,0.1,350000,210000,AND,80,300,40,300,9,Yes,46
CRT|NA,CRT|NA,0.7,0.3,35,1,1200,600,0.15,350000,210000,AND,70,300,30,300,10,Yes,47
LRT|NA,LRT|NA,0.7,0.3,35,1,1200,600,0.15,350000,210000,AND,70,300,30,300,11,Yes,48
